coach_number,phase,section,task,hours,completed,completed_date
10M50083M,Completion,Structural,3.1 Cut and replace old end step,,,
10M50083M,Completion,Structural,3.2 Straighten interior floor channels,,,
10M50083M,Completion,Structural,3.3 Remove all screws on the floor channels,,,
10M50083M,Completion,Structural,3.4 Drill water ingress holes on body end,,,
10M50083M,Completion,Structural,3.5 Fix damaged existing bracket on the underframe,,,
10M50083M,Completion,Structural,"3.6 Remove rust on the body using chipping hammer if rust detected is too deep, cut it and replace with new component",,,
10M50083M,Completion,Structural,3.7 Inspect and weld all monsoons holes roof,,,
10M50083M,Completion,Structural,3.8 Weld gutter holes,,,
10M50083M,Completion,Structural,3.9 Weld and grind rust affected areas on the sole bar ,,,
10M50083M,Completion,Structural,3.10 Weld or replace all damaged small components,,,
10M50083M,Completion,Structural,3.11 Modify seat frames,,,
10M50083M,Completion,Paint Works,4.1 Shot blast coach sole bar,,,
10M50083M,Completion,Paint Works,4.2 Clean the shot blast surface with air,,,
10M50083M,Completion,Paint Works,4.3 Shot blast BUP small components,,,
10M50083M,Completion,Paint Works,4.4 Shot blast Coachbuild small components,,,
10M50083M,Completion,Paint Works,5.1 Clean dirt/dust inside the coach,,,
10M50083M,Completion,Paint Works,5.2 Auto coat interior,,,
10M50083M,Completion,Paint Works,5.3 Wash the underframe,,,
10M50083M,Completion,Paint Works,5.4 Auto coat under frame,,,
10M50083M,Completion,Coach Build,6.1 First water test - Check the coach is fully sealed. ,,,
10M50083M,Completion,Coach Build,6.2 Spray pressurized water where sealant is applied (on the panel joints),,,
10M50083M,Completion,Coach Build,6.3 Check if there is any leaks on windows,,,
10M50083M,Completion,Coach Build,6.4 Check if there is any leaks on monsoons,,,
10M50083M,Completion,Paint Works,"7.1 1st Prime preparation - Sanding, Bodyfiller, Sanding ,  & Apply 1st primer coat",,,
10M50083M,Completion,Paint Works,"7.2 2nd Prime preparation - Sanding, Sealing (Sika Flex) & Apply final coat (different colors)",,,
10M50083M,Completion,Electrical,8.1 Inspect all electrical wiring,,,
10M50083M,Completion,Electrical,"8.2 Route train line through the conduits and ensure continuity - Body Ends, Doors, Control box, Lights, PA switch, Emergency push button, QSA",,,
10M50083M,Completion,Electrical,"8.3 Terminate cables, lug, insert I-dentS, prepare & connect bogie earth straps",,,
10M50083M,Completion,BUP,9.1 Mechanical Draw gear/coupler installation - Fit draw gears on both ends,,,
10M50083M,Completion,BUP,9.2 Fit draw-gear top guides,,,
10M50083M,Completion,BUP,9.3 Fit carrier plate/draw-gear cover plate,,,
10M50083M,Completion,BUP,9.4 Fit side plunger springs,,,
