coach_no,coach_type,section,task,hours
1,Motor,Paint,2nd primer application for the coach ,8
2,Motor,Coach Build,Air Vents ,6
3,Motor,Structural,All small components repairs,8
4,Motor,Paint,Application for Golden yellow,8
5,Motor,Paint,Apply autocoat ,8
6,Motor,Paint,Apply autocoat on drivers area,4
7,Motor,Coach Build,Apply Body Filler And Sand The Floor ,8
8,Motor,Paint,Apply bodyfiller on canopies & prime(set),8
9,Motor,Paint,Apply bodyfiller on End doors and Cab doors and rubb,8
10,Motor,Paint,Apply bodyfiller on saloon doors & prime,8
11,Motor,Paint,Apply cab cream on dash board ,8
12,Motor,Paint,Apply dark grey ,8
13,Motor,Paint,Apply final coat on End doors and Cab doors with frames ,8
14,Motor,Paint,Apply polish on the coach,8
15,Motor,Paint,Apply polish on the coach,8
16,Motor,Paint,Apply sika flex,16
17,Motor,BUP,Applying Stag And Putting Pipe Fittings,2
18,Motor,Coach Build,AudioPlate ,6
19,Motor,Electrical,Auxillary,23
20,Motor,BUP,Bending Air Pipe And Vacuum Pipe ,8
21,Motor,Paint,Blast bogie components,24
22,Motor,Paint,Blast bogie frame ,8
23,Motor,Paint,Blast sole bar,8
24,Motor,Paint,Blast underframe components,16
25,Motor,Electrical,Body Ends Wires,16
26,Motor,Structural,Body repairs,24
27,Motor,Paint,Bodyfiller application on canopies and Primer,8
28,Motor,BUP,Bogie Assembly ,40
29,Motor,Coach Build,Bogie Pin Cover,4
30,Motor,BUP,Brake Rigging,16
31,Motor,Coach Build,Cab Ceiling ,8
32,Motor,Coach Build,Cab Steps ,8
33,Motor,Coach Build,Canopies,16
34,Motor,Coach Build,Center Grab Poles ,8
35,Motor,Electrical,Coach Controllers ,16
36,Motor,BUP,Connecting Air Pipe And Putting Brackets,8
37,Motor,BUP,Connecting Vacuum Pipe And Putting Brackets,8
38,Motor,Coach Build,Cut And Fit Air Duct ,8
39,Motor,Coach Build,Cut And Fit Ceilling Panels ,6
40,Motor,Coach Build,Cut And Fit Closing Trim,8
41,Motor,Coach Build,Cut And Fit Cove Panels,8
42,Motor,Coach Build,Cut And Fit Insulation Fibre ,6
43,Motor,Coach Build,Cut And Fit Marli On Air Duct,6
44,Motor,Coach Build,Cut And Fit Moldings ,16
45,Motor,Coach Build,Cut And Fit Side Marli ,8
46,Motor,Coach Build,Cut And Fit Side Metal Plate ,6
47,Motor,Coach Build,Cut And Fit Side Panels ,6
48,Motor,Coach Build,Cutting Cab Floor ,4
49,Motor,Coach Build,Cutting Floor Boards ,3
50,Motor,Coach Build,Dash Board Installation ,8
51,Motor,Coach Build,Dash Board Panels,8
52,Motor,Coach Build,Door Fitment ,8
53,Motor,Coach Build,Door Mech's ,2
54,Motor,Coach Build,DoorTrims ,6
55,Motor,Coach Build,Driver And Assistance Door ,12
56,Motor,Coach Build,Driver And Assistance Seat,8
57,Motor,Coach Build,Emergency Door,6
58,Motor,Electrical,Emergency Push Buttons ,8
59,Motor,Coach Build,End Door Complition ,12
60,Motor,Paint,End doors and Cab doors with Frames rubb & primer,8
61,Motor,Paint,Final primer and final rubb,8
62,Motor,Paint,Final primer and rubb for final coat(Golden yellow),8
63,Motor,Paint,Final primer and rubb for final coat(Tequos blue),8
64,Motor,Coach Build,Fire Extinguisher Bracket,4
65,Motor,Coach Build,Fit And Seal Corner Piece ,6
66,Motor,Coach Build,Fit Floor Boards ,6
67,Motor,Coach Build,Fit Marli ,6
68,Motor,Coach Build,Fit Marli [centre],6
69,Motor,Coach Build,Fitment Mirror Box,8
70,Motor,Coach Build,Fitting Draft Shields ,16
71,Motor,Coach Build,Fitting Floor Boards Drill And Secure ,8
72,Motor,BUP,Fitting Hand Break,2
73,Motor,BUP,Fitting of Drawgears ,8
74,Motor,Coach Build,Fitting Seat Cushion ,8
75,Motor,Coach Build,Fitting Seat Frame ,8
76,Motor,Coach Build,Fitting Shrowds ,6
77,Motor,Coach Build,Floor Packing [mesonite],6
78,Motor,Coach Build,Floor Varnish,3
79,Motor,BUP,Gear Case Assembly,8
80,Motor,Electrical,HT ,30
81,Motor,Coach Build,HT And L-T [External],2
82,Motor,Coach Build,HT And LT Sliding Doors ,8
83,Motor,Coach Build,Inspection Box Frame ,6
84,Motor,Coach Build,Inspection Covers,8
85,Motor,BUP,Installing Compressors,4
86,Motor,BUP,Installing Couplers ,8
87,Motor,BUP,Installing Invetor ,4
88,Motor,BUP,Installing Q.S.A's on Vacuum Pipe ,2
89,Motor,BUP,Installing Vaccum Tanks And Cylinders,8
90,Motor,Structural,Interio repairs,32
