coach_type,phase,section,task
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - 95 Square Cabling for Mainline
Baggage Van,Completion,BUP,Bodywork & Attachments (Excl. Interior Trim) - Block bumper Rubber block
Baggage Van,Completion,Structural,Bodywork & Attachments (Excl. Interior Trim) - Body Framework repairs
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Commode Handles Overhaul
Baggage Van,Completion,QC,Bodywork & Attachments (Excl. Interior Trim) - Complete Coach Strip
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Convert K54 to KP1 Van (including removing of guards compartment & Body steel work)
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - Electrical Conduits - Renew
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Exterior Steps Inspect and overhaul
Baggage Van,Completion,Paint Works,Bodywork & Attachments (Excl. Interior Trim) - External Signs and Decals
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - Fit Communication system Speakers
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit New floor plates at end
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit New Pillars (500mm) L/H or R/H
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit New Pillars Full size
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit New Side Steps - Entrance
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Reclaimed Window in Guards Compartment
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Gangway Plate Overhaul
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Gangway Plate Renew
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Glass (200 x 200) for emergency & fire ext
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Glass Exit/Entrance Side Door (Including rubber)
Baggage Van,Completion,Paint Works,Bodywork & Attachments (Excl. Interior Trim) - Grit Blast Body Shell and u/f equipment
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - Inter Coach Connectors (Recepticals)
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - Interior Lighting new (Kit)
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - Jumper Cables Complete New
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - Lamp side renew with L.E.D. Type
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - LT Rewiring
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - Main Buss Junction & Receptical Boxes - Fit New
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - Main DB Complete
Baggage Van,Completion,Structural,Bodywork & Attachments (Excl. Interior Trim) - Maxi Repairs
Baggage Van,Completion,Structural,Bodywork & Attachments (Excl. Interior Trim) - Midi Repairs (Refer CR 001)
Baggage Van,Completion,Structural,Bodywork & Attachments (Excl. Interior Trim) - Mini Repairs (Refer CR 001)
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Monsoon Ventilators Renew (Rotating type)
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Monsoon Ventilators Renew (Std GRP Type)
Baggage Van,Completion,Paint Works,Bodywork & Attachments (Excl. Interior Trim) - Paint Coach and auto coat complete
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Plate Patch Destination (2.5mm x 125mm x 625mm)
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Plate Patch Sole bar (6mm x 135mm x 600mm)
Baggage Van,Completion,Paint Works,Bodywork & Attachments (Excl. Interior Trim) - Plate Stencil (2.5mm x 125mm x 800mm)
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Remove Asbetos (Interior and Exterior) If Applicable
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Renew Baggage Compartment Obsevation Glass plus Rubber
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Renew Card Clip big
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Renew Card Clip small
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Renew Commode Handles
Baggage Van,Completion,Structural,Bodywork & Attachments (Excl. Interior Trim) - Renew Corrugated Metal Floor
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Renew GRP pane & shroud including window rubber
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Renew Protection bar Baggage Compartment
Baggage Van,Completion,BUP,Bodywork & Attachments (Excl. Interior Trim) - Rubber Stop Bumper
Baggage Van,Completion,Structural,Bodywork & Attachments (Excl. Interior Trim) - Rust Repair Gutters
Baggage Van,Completion,Structural,Bodywork & Attachments (Excl. Interior Trim) - Rust Repairs Body (Side and ends)
Baggage Van,Completion,Structural,Bodywork & Attachments (Excl. Interior Trim) - Rust Repairs Roof
Baggage Van,Completion,Paint Works,Bodywork & Attachments (Excl. Interior Trim) - Stencilling
Baggage Van,Completion,Electrical,Bodywork & Attachments (Excl. Interior Trim) - Tail Light & Wing Light (LED Type)
Baggage Van,Completion,Testing & Commissioning,Bodywork & Attachments (Excl. Interior Trim) - Vehicle Compliance (To Pass Structure Gauge)
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - View Reflectors (K & G Types) Remove and close up
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - View Relectors (K & G Types) Overhaul
Baggage Van,Completion,QC,Bodywork & Attachments (Excl. Interior Trim) - Water Test Coaches Exterior
Baggage Van,Completion,Structural,Bodywork & Attachments (Excl. Interior Trim) - Window mainline drop MKIV Aperture Conversion
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Windows Mainline Drop MKIV - Renew
Baggage Van,Completion,BUP,Bogies - Axle Boxes (Adaptor) Examine/Repair
Baggage Van,Completion,BUP,Bogies - Axle Boxes Renew
Baggage Van,Completion,BUP,Bogies - Bogie Central Bearing Assembly examine
Baggage Van,Completion,BUP,Bogies - Bogie Overhaul
Baggage Van,Completion,BUP,Bogies - Bolster Central Flat and Vertical sleeve Liners Renew
Baggage Van,Completion,BUP,Bogies - Double Webb Spring Cub - Renew
Baggage Van,Completion,BUP,Bogies - Earth Straps
Baggage Van,Completion,BUP,Bogies - Fit New Anchor bolts
Baggage Van,Completion,BUP,Bogies - Fit New Swing hanger
Baggage Van,Completion,BUP,Bogies - Pedestal Liners - Renew
Baggage Van,Completion,BUP,Bogies - Safety Loops
Baggage Van,Completion,BUP,Bogies - Side Friction
Baggage Van,Completion,BUP,Bogies - Snubbers Houdaille - Refurbish
Baggage Van,Completion,BUP,Bogies - Snubbers Houdaille - Renew
Baggage Van,Completion,BUP,"Bogies - Springs Class 6'9"" Bogies Bolster New"
Baggage Van,Completion,BUP,"Bogies - Springs Class 6'9"" Bogies Equalising Beam New"
Baggage Van,Completion,BUP,Bogies - Springs Class 7' Bogies Bolster New
Baggage Van,Completion,BUP,Bogies - Springs Class 7' Bogies Equalising Beam New
Baggage Van,Completion,BUP,Bogies - Springs Test & Refurbish
Baggage Van,Completion,Coach Build,"Doors - DB, Broom & Compartment Doors - Renew"
Baggage Van,Completion,Coach Build,Doors - Door Controllers - Renew - (vestibule door)
Baggage Van,Completion,Coach Build,Doors - Door Stops - Renew
Baggage Van,Completion,Coach Build,Doors - Doors Hinged Int. Overhaul
Baggage Van,Completion,Coach Build,Doors - Doors Hinged Spring Loaded - Renew Hinge
Baggage Van,Completion,Coach Build,Doors - Fit New Weather Strip
Baggage Van,Completion,Coach Build,Doors - Fit Reclaimed Doors (Baggage Van)
Baggage Van,Completion,Coach Build,Doors - Fit yale locks to vestibule Doors
Baggage Van,Completion,Coach Build,Doors - Guard Door Window modify to glazing rubber
Baggage Van,Completion,Coach Build,Doors - Lock Guard Door complete
Baggage Van,Completion,Coach Build,Doors - Lock Mortice End Door Complete - Renew
Baggage Van,Completion,Coach Build,Doors - Lock Mortice Private -Renew
Baggage Van,Completion,Coach Build,"Doors - Lock Toilet, shower, Communication Door Comp. - Renew"
Baggage Van,Completion,Coach Build,Doors - Lock Vestibule side door complete with Striking plates - Renew
Baggage Van,Completion,Coach Build,Doors - Locks Overhaul
Baggage Van,Completion,Coach Build,Doors - Mainline Intermediate Door LH;RH
Baggage Van,Completion,Coach Build,Doors - Renew Barrel Bolts
Baggage Van,Completion,Coach Build,Doors - Renew Vestibule Exit Door (Including new Window & Rubber)
Baggage Van,Completion,Coach Build,Doors - Repair Hinge Swing Loading Doors
Baggage Van,Completion,Coach Build,Doors - Repair Vestibule Exit Door (Including new Window & Rubber)
Baggage Van,Completion,Coach Build,Doors - Sill plate-End door Renew
Baggage Van,Completion,Coach Build,Doors - Sill plate-Exit Door - Renew
Baggage Van,Completion,Coach Build,Doors - Sliding Door (KP-1 and K-54) New
Baggage Van,Completion,Coach Build,Doors - Sliding Door (KP-1 and K-54) Refurbish
